main started
id:: 2id:: 1id:: 2id:: 3id:: 4(Producer 4, idx is 1): =
(Producer 4, idx is 2): ==
(Consumer 2, idx is 1): =
(Producer 2, idx is 2): ==
(Producer 3, idx is 3): ===
(Consumer 4, idx is 2): ==
(Consumer 1, idx is 1): =
(Consumer 4, idx is 0): 
(Producer 2, idx is 1): =
(Consumer 3, idx is 0): 
(Producer 2, idx is 1): =
(Consumer 2, idx is 0): 
(Producer 1, idx is 1): =
(Producer 2, idx is 2): ==
(Producer 1, idx is 3): ===
(Consumer 2, idx is 2): ==
(Producer 4, idx is 3): ===
(Consumer 3, idx is 2): ==
(Consumer 2, idx is 1): =
(Consumer 1, idx is 0): 
(Producer 4, idx is 1): =
(Consumer 1, idx is 0): 
(Producer 3, idx is 1): =
(Consumer 4, idx is 0): 
(Producer 2, idx is 1): =
(Producer 4, idx is 2): ==
(Producer 2, idx is 3): ===
(Producer 1, idx is 4): ====
(Consumer 4, idx is 3): ===
(Producer 3, idx is 4): ====
(Producer 2, idx is 5): =====
(Producer 1, idx is 6): ======
(Consumer 3, idx is 5): =====
(Consumer 2, idx is 4): ====
(Consumer 2, idx is 3): ===
(Consumer 2, idx is 2): ==
(Consumer 1, idx is 1): =
(Producer 2, idx is 2): ==
(Consumer 2, idx is 1): =
(Consumer 4, idx is 0): 
(Producer 4, idx is 1): =
(Producer 3, idx is 2): ==
(Producer 3, idx is 3): ===
(Producer 2, idx is 4): ====
(Producer 1, idx is 5): =====
(Consumer 3, idx is 4): ====
(Consumer 1, idx is 3): ===
(Consumer 1, idx is 2): ==
(Consumer 4, idx is 1): =
(Producer 2, idx is 2): ==
(Consumer 2, idx is 1): =
(Consumer 3, idx is 0): 
(Producer 4, idx is 1): =
(Consumer 4, idx is 0): 
(Producer 1, idx is 1): =
(Consumer 2, idx is 0): 
(Producer 2, idx is 1): =
(Consumer 2, idx is 0): 
(Producer 3, idx is 1): =
(Consumer 3, idx is 0): 
(Producer 2, idx is 1): =
(Consumer 2, idx is 0): 
(Producer 1, idx is 1): =
(Consumer 4, idx is 0): 
